model,config_id,hash,cap,chunk,policy,mem,startup_s,attention_backend,moe_runner_backend,disable_cuda_graph,cuda_graph_captured,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,launch_cmd
lfm25,188,cap128_chunk8192_polfcfs_mem0.75,128,8192,fcfs,0.75,28.0,fa3,auto,False,True,128,8192,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 128 --chunked-prefill-size 8192 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,189,cap128_chunk8192_polfcfs_mem0.8,128,8192,fcfs,0.8,28.0,fa3,auto,False,True,128,8192,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 128 --chunked-prefill-size 8192 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,190,cap128_chunk8192_polfcfs_mem0.85,128,8192,fcfs,0.85,28.0,fa3,auto,False,True,128,8192,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 128 --chunked-prefill-size 8192 --schedule-policy fcfs --max-prefill-tokens 16384
lfm25,191,cap128_chunk8192_polfcfs_mem0.9,128,8192,fcfs,0.9,28.0,fa3,auto,False,True,128,8192,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/LFM2.5-8B-A1B --served-model-name lfm2.5-8b-a1b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 128 --chunked-prefill-size 8192 --schedule-policy fcfs --max-prefill-tokens 16384
qwen,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75,37.0,fa3,auto,False,True,8,-1,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy lpm
qwen,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,40.0,fa3,auto,False,True,8,-1,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39401 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy lpm
qwen,2,cap8_chunk-1_pollpm_mem0.85,8,-1,lpm,0.85,37.0,fa3,auto,False,True,8,-1,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39600 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy lpm
qwen,3,cap8_chunk-1_pollpm_mem0.9,8,-1,lpm,0.9,37.0,fa3,auto,False,True,8,-1,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy lpm
qwen,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,37.0,fa3,auto,False,True,8,-1,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,37.0,fa3,auto,False,True,8,-1,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,6,cap8_chunk-1_polfcfs_mem0.85,8,-1,fcfs,0.85,37.0,fa3,auto,False,True,8,-1,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,7,cap8_chunk-1_polfcfs_mem0.9,8,-1,fcfs,0.9,37.0,fa3,auto,False,True,8,-1,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 8 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,8,cap8_chunk2048_pollpm_mem0.75,8,2048,lpm,0.75,40.0,fa3,auto,False,True,8,2048,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,9,cap8_chunk2048_pollpm_mem0.8,8,2048,lpm,0.8,37.0,fa3,auto,False,True,8,2048,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,10,cap8_chunk2048_pollpm_mem0.85,8,2048,lpm,0.85,37.0,fa3,auto,False,True,8,2048,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,11,cap8_chunk2048_pollpm_mem0.9,8,2048,lpm,0.9,40.0,fa3,auto,False,True,8,2048,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,12,cap8_chunk2048_polfcfs_mem0.75,8,2048,fcfs,0.75,37.0,fa3,auto,False,True,8,2048,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,13,cap8_chunk2048_polfcfs_mem0.8,8,2048,fcfs,0.8,37.0,fa3,auto,False,True,8,2048,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,14,cap8_chunk2048_polfcfs_mem0.85,8,2048,fcfs,0.85,37.0,fa3,auto,False,True,8,2048,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,15,cap8_chunk2048_polfcfs_mem0.9,8,2048,fcfs,0.9,37.0,fa3,auto,False,True,8,2048,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 8 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,16,cap8_chunk8192_pollpm_mem0.75,8,8192,lpm,0.75,37.0,fa3,auto,False,True,8,8192,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,17,cap8_chunk8192_pollpm_mem0.8,8,8192,lpm,0.8,37.0,fa3,auto,False,True,8,8192,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,18,cap8_chunk8192_pollpm_mem0.85,8,8192,lpm,0.85,37.0,fa3,auto,False,True,8,8192,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,19,cap8_chunk8192_pollpm_mem0.9,8,8192,lpm,0.9,37.0,fa3,auto,False,True,8,8192,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,20,cap8_chunk8192_polfcfs_mem0.75,8,8192,fcfs,0.75,37.0,fa3,auto,False,True,8,8192,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy fcfs
qwen,21,cap8_chunk8192_polfcfs_mem0.8,8,8192,fcfs,0.8,37.0,fa3,auto,False,True,8,8192,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy fcfs
qwen,22,cap8_chunk8192_polfcfs_mem0.85,8,8192,fcfs,0.85,37.0,fa3,auto,False,True,8,8192,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy fcfs
qwen,23,cap8_chunk8192_polfcfs_mem0.9,8,8192,fcfs,0.9,37.0,fa3,auto,False,True,8,8192,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39600 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 8 --chunked-prefill-size 8192 --schedule-policy fcfs
qwen,24,cap16_chunk-1_pollpm_mem0.75,16,-1,lpm,0.75,37.0,fa3,auto,False,True,16,-1,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 16 --chunked-prefill-size -1 --schedule-policy lpm
qwen,25,cap16_chunk-1_pollpm_mem0.8,16,-1,lpm,0.8,37.0,fa3,auto,False,True,16,-1,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 16 --chunked-prefill-size -1 --schedule-policy lpm
qwen,26,cap16_chunk-1_pollpm_mem0.85,16,-1,lpm,0.85,37.0,fa3,auto,False,True,16,-1,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 16 --chunked-prefill-size -1 --schedule-policy lpm
qwen,27,cap16_chunk-1_pollpm_mem0.9,16,-1,lpm,0.9,37.0,fa3,auto,False,True,16,-1,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 16 --chunked-prefill-size -1 --schedule-policy lpm
qwen,28,cap16_chunk-1_polfcfs_mem0.75,16,-1,fcfs,0.75,37.0,fa3,auto,False,True,16,-1,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 16 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,29,cap16_chunk-1_polfcfs_mem0.8,16,-1,fcfs,0.8,37.0,fa3,auto,False,True,16,-1,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 16 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,30,cap16_chunk-1_polfcfs_mem0.85,16,-1,fcfs,0.85,40.0,fa3,auto,False,True,16,-1,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39600 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 16 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,31,cap16_chunk-1_polfcfs_mem0.9,16,-1,fcfs,0.9,37.0,fa3,auto,False,True,16,-1,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 16 --chunked-prefill-size -1 --schedule-policy fcfs
qwen,32,cap16_chunk2048_pollpm_mem0.75,16,2048,lpm,0.75,37.0,fa3,auto,False,True,16,2048,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,33,cap16_chunk2048_pollpm_mem0.8,16,2048,lpm,0.8,37.0,fa3,auto,False,True,16,2048,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,34,cap16_chunk2048_pollpm_mem0.85,16,2048,lpm,0.85,37.0,fa3,auto,False,True,16,2048,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,35,cap16_chunk2048_pollpm_mem0.9,16,2048,lpm,0.9,37.0,fa3,auto,False,True,16,2048,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy lpm
qwen,36,cap16_chunk2048_polfcfs_mem0.75,16,2048,fcfs,0.75,37.0,fa3,auto,False,True,16,2048,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,37,cap16_chunk2048_polfcfs_mem0.8,16,2048,fcfs,0.8,37.0,fa3,auto,False,True,16,2048,fcfs,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39600 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,38,cap16_chunk2048_polfcfs_mem0.85,16,2048,fcfs,0.85,37.0,fa3,auto,False,True,16,2048,fcfs,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39300 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,39,cap16_chunk2048_polfcfs_mem0.9,16,2048,fcfs,0.9,37.0,fa3,auto,False,True,16,2048,fcfs,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39000 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 16 --chunked-prefill-size 2048 --schedule-policy fcfs
qwen,40,cap16_chunk8192_pollpm_mem0.75,16,8192,lpm,0.75,37.0,fa3,auto,False,True,16,8192,lpm,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39500 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 16 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,41,cap16_chunk8192_pollpm_mem0.8,16,8192,lpm,0.8,37.0,fa3,auto,False,True,16,8192,lpm,0.8,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39200 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.8 --max-running-requests 16 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,42,cap16_chunk8192_pollpm_mem0.85,16,8192,lpm,0.85,37.0,fa3,auto,False,True,16,8192,lpm,0.85,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39100 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.85 --max-running-requests 16 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,43,cap16_chunk8192_pollpm_mem0.9,16,8192,lpm,0.9,37.0,fa3,auto,False,True,16,8192,lpm,0.9,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39400 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.9 --max-running-requests 16 --chunked-prefill-size 8192 --schedule-policy lpm
qwen,44,cap16_chunk8192_polfcfs_mem0.75,16,8192,fcfs,0.75,37.0,fa3,auto,False,True,16,8192,fcfs,0.75,/home/t-jialianggu/.conda/envs/sglang-dev/bin/python -m sglang.launch_server --model-path /data/hf/models/Qwen3-30B-A3B-Instruct-2507 --served-model-name qwen3-30b-a3b --host 127.0.0.1 --port 39600 --tensor-parallel-size 1 --context-length 8192 --schedule-conservativeness 1.0 --trust-remote-code --moe-runner-backend auto --mem-fraction-static 0.75 --max-running-requests 16 --chunked-prefill-size 8192 --schedule-policy fcfs
