model,regime,configuration,repeat,idx,ttft_ms,e2e_ms,output_tokens
qwen,C64_O512,baseline,1,25,92.698,4290.353,512
qwen,C64_O512,baseline,1,5,117.32,4315.026,512
qwen,C64_O512,baseline,1,1,123.459,4320.743,512
qwen,C64_O512,baseline,1,30,88.83,4286.909,512
qwen,C64_O512,baseline,1,18,101.874,4302.486,512
qwen,C64_O512,baseline,1,11,112.429,4311.384,512
qwen,C64_O512,baseline,1,29,90.054,4289.664,512
qwen,C64_O512,baseline,1,19,100.803,4303.147,512
qwen,C64_O512,baseline,1,21,99.199,4300.957,512
qwen,C64_O512,baseline,1,6,117.905,4319.505,512
qwen,C64_O512,baseline,1,16,105.212,4308.25,512
qwen,C64_O512,baseline,1,26,92.656,4295.824,512
qwen,C64_O512,baseline,1,13,108.928,4313.449,512
qwen,C64_O512,baseline,1,28,88.794,4294.135,512
qwen,C64_O512,baseline,1,23,96.823,4301.575,512
qwen,C64_O512,baseline,1,10,113.189,4316.903,512
qwen,C64_O512,baseline,1,3,111.661,4325.267,512
qwen,C64_O512,baseline,1,7,117.004,4320.752,512
qwen,C64_O512,baseline,1,9,114.046,4318.815,512
qwen,C64_O512,baseline,1,0,123.091,4328.969,512
qwen,C64_O512,baseline,1,17,102.624,4310.426,512
qwen,C64_O512,baseline,1,24,94.414,4302.302,512
qwen,C64_O512,baseline,1,20,100.204,4307.349,512
qwen,C64_O512,baseline,1,4,120.177,4327.017,512
qwen,C64_O512,baseline,1,14,106.485,4315.316,512
qwen,C64_O512,baseline,1,22,99.448,4305.509,512
qwen,C64_O512,baseline,1,8,114.301,4322.781,512
qwen,C64_O512,baseline,1,27,91.953,4299.386,512
qwen,C64_O512,baseline,1,12,110.655,4319.396,512
qwen,C64_O512,baseline,1,15,106.889,4315.262,512
qwen,C64_O512,baseline,1,32,87.82,4294.883,512
qwen,C64_O512,baseline,1,2,120.484,4330.212,512
qwen,C64_O512,baseline,1,60,4304.115,8552.181,512
qwen,C64_O512,baseline,1,50,4318.219,8566.276,512
qwen,C64_O512,baseline,1,58,4305.614,8556.34,512
qwen,C64_O512,baseline,1,35,4334.44,8586.624,512
qwen,C64_O512,baseline,1,39,4330.335,8582.593,512
qwen,C64_O512,baseline,1,40,4328.124,8582.113,512
qwen,C64_O512,baseline,1,56,4306.999,8561.064,512
qwen,C64_O512,baseline,1,47,4319.798,8573.521,512
qwen,C64_O512,baseline,1,48,4318.954,8572.961,512
qwen,C64_O512,baseline,1,33,4339.111,8592.442,512
qwen,C64_O512,baseline,1,54,4312.234,8564.668,512
qwen,C64_O512,baseline,1,51,4313.946,8569.25,512
qwen,C64_O512,baseline,1,34,4337.263,8592.427,512
qwen,C64_O512,baseline,1,44,4323.578,8580.214,512
qwen,C64_O512,baseline,1,53,4310.805,8567.546,512
qwen,C64_O512,baseline,1,42,4327.07,8582.771,512
qwen,C64_O512,baseline,1,41,4330.319,8584.139,512
qwen,C64_O512,baseline,1,43,4326.148,8582.364,512
qwen,C64_O512,baseline,1,52,4315.283,8569.749,512
qwen,C64_O512,baseline,1,62,4303.314,8558.83,512
qwen,C64_O512,baseline,1,37,4334.984,8590.819,512
qwen,C64_O512,baseline,1,49,4318.89,8575.842,512
qwen,C64_O512,baseline,1,36,4333.535,8592.241,512
qwen,C64_O512,baseline,1,63,4299.927,8556.973,512
qwen,C64_O512,baseline,1,38,4334.222,8590.352,512
qwen,C64_O512,baseline,1,59,4305.764,8562.878,512
qwen,C64_O512,baseline,1,57,4305.7,8565.326,512
qwen,C64_O512,baseline,1,46,4321.452,8580.549,512
qwen,C64_O512,baseline,1,31,4341.766,8600.806,512
qwen,C64_O512,baseline,1,45,4325.128,8582.973,512
qwen,C64_O512,baseline,1,55,4309.069,8568.737,512
qwen,C64_O512,baseline,1,61,4304.972,8561.995,512
qwen,C128_O256,baseline,1,17,108.54,2165.159,256
qwen,C128_O256,baseline,1,25,96.541,2155.836,256
qwen,C128_O256,baseline,1,21,101.618,2161.423,256
qwen,C128_O256,baseline,1,6,118.981,2180.477,256
qwen,C128_O256,baseline,1,3,121.856,2184.609,256
qwen,C128_O256,baseline,1,11,112.136,2175.295,256
qwen,C128_O256,baseline,1,30,91.103,2153.96,256
qwen,C128_O256,baseline,1,14,109.661,2172.743,256
qwen,C128_O256,baseline,1,15,110.632,2171.621,256
qwen,C128_O256,baseline,1,23,97.451,2161.976,256
qwen,C128_O256,baseline,1,20,104.214,2165.553,256
qwen,C128_O256,baseline,1,27,93.518,2157.552,256
qwen,C128_O256,baseline,1,22,102.714,2164.484,256
qwen,C128_O256,baseline,1,0,115.695,2190.421,256
qwen,C128_O256,baseline,1,13,110.821,2175.135,256
qwen,C128_O256,baseline,1,29,101.116,2156.845,256
qwen,C128_O256,baseline,1,19,103.294,2168.617,256
qwen,C128_O256,baseline,1,5,119.555,2185.596,256
qwen,C128_O256,baseline,1,12,114.257,2177.393,256
qwen,C128_O256,baseline,1,16,106.592,2172.947,256
qwen,C128_O256,baseline,1,1,124.636,2190.709,256
qwen,C128_O256,baseline,1,24,96.591,2164.08,256
qwen,C128_O256,baseline,1,9,116.601,2182.312,256
qwen,C128_O256,baseline,1,2,124.154,2190.399,256
qwen,C128_O256,baseline,1,10,113.702,2181.336,256
qwen,C128_O256,baseline,1,7,117.171,2185.117,256
qwen,C128_O256,baseline,1,31,87.879,2155.304,256
qwen,C128_O256,baseline,1,8,116.349,2184.171,256
qwen,C128_O256,baseline,1,4,120.363,2189.019,256
qwen,C128_O256,baseline,1,18,106.58,2172.305,256
qwen,C128_O256,baseline,1,26,95.197,2162.589,256
qwen,C128_O256,baseline,1,28,91.702,2160.665,256
qwen,C128_O256,baseline,1,33,2212.341,4288.78,256
qwen,C128_O256,baseline,1,74,2160.153,4236.78,256
qwen,C128_O256,baseline,1,40,2205.399,4282.375,256
qwen,C128_O256,baseline,1,56,2183.877,4260.521,256
qwen,C128_O256,baseline,1,79,2154.363,4231.851,256
qwen,C128_O256,baseline,1,50,2191.299,4270.26,256
qwen,C128_O256,baseline,1,57,2181.442,4259.827,256
qwen,C128_O256,baseline,1,62,2175.621,4254.234,256
qwen,C128_O256,baseline,1,124,2084.759,4163.148,256
qwen,C128_O256,baseline,1,107,2114.043,4193.581,256
qwen,C128_O256,baseline,1,119,2092.998,4172.718,256
qwen,C128_O256,baseline,1,76,2158.181,4238.091,256
qwen,C128_O256,baseline,1,102,2122.041,4202.357,256
qwen,C128_O256,baseline,1,73,2161.776,4241.537,256
qwen,C128_O256,baseline,1,120,2090.012,4170.416,256
qwen,C128_O256,baseline,1,52,2188.979,4268.508,256
qwen,C128_O256,baseline,1,32,2213.687,4295.063,256
qwen,C128_O256,baseline,1,80,2152.17,4233.535,256
qwen,C128_O256,baseline,1,67,2169.889,4250.358,256
qwen,C128_O256,baseline,1,127,2080.742,4162.119,256
qwen,C128_O256,baseline,1,95,2134.85,4216.044,256
qwen,C128_O256,baseline,1,69,2166.932,4248.905,256
qwen,C128_O256,baseline,1,54,2185.285,4268.042,256
qwen,C128_O256,baseline,1,92,2137.859,4220.219,256
qwen,C128_O256,baseline,1,49,2193.353,4276.542,256
qwen,C128_O256,baseline,1,65,2170.547,4254.662,256
qwen,C128_O256,baseline,1,84,2150.013,4231.894,256
qwen,C128_O256,baseline,1,104,2121.12,4202.829,256
qwen,C128_O256,baseline,1,39,2207.078,4290.493,256
qwen,C128_O256,baseline,1,96,2133.007,4216.449,256
qwen,C128_O256,baseline,1,109,2113.793,4196.449,256
qwen,C128_O256,baseline,1,122,2089.125,4172.484,256
qwen,C128_O256,baseline,1,72,4298.752,6384.371,256
qwen,C128_O256,baseline,1,78,4291.462,6377.237,256
qwen,C128_O256,baseline,1,37,4346.252,6431.021,256
qwen,C128_O256,baseline,1,35,4350.19,6434.052,256
qwen,C128_O256,baseline,1,34,4349.541,6436.092,256
qwen,C128_O256,baseline,1,51,4328.548,6415.17,256
qwen,C128_O256,baseline,1,42,4338.349,6426.767,256
qwen,C128_O256,baseline,1,55,4320.721,6409.709,256
qwen,C128_O256,baseline,1,66,4310.032,6396.02,256
qwen,C128_O256,baseline,1,36,4346.676,6435.563,256
qwen,C128_O256,baseline,1,63,4313.479,6401.098,256
qwen,C128_O256,baseline,1,77,4295.245,6383.124,256
qwen,C128_O256,baseline,1,68,4304.86,6394.593,256
qwen,C128_O256,baseline,1,53,4322.761,6413.888,256
qwen,C128_O256,baseline,1,46,4335.164,6424.644,256
qwen,C128_O256,baseline,1,71,4300.971,6391.369,256
qwen,C128_O256,baseline,1,81,4289.038,6379.027,256
qwen,C128_O256,baseline,1,59,4316.868,6406.82,256
qwen,C128_O256,baseline,1,61,4313.525,6404.752,256
qwen,C128_O256,baseline,1,45,4335.32,6427.268,256
qwen,C128_O256,baseline,1,70,4303.233,6393.801,256
qwen,C128_O256,baseline,1,47,4333.806,6424.798,256
qwen,C128_O256,baseline,1,44,4337.183,6428.813,256
qwen,C128_O256,baseline,1,58,4318.989,6409.567,256
qwen,C128_O256,baseline,1,38,4343.772,6436.746,256
qwen,C128_O256,baseline,1,82,4287.408,6380.269,256
qwen,C128_O256,baseline,1,64,4311.514,6402.662,256
qwen,C128_O256,baseline,1,43,4340.319,6430.982,256
qwen,C128_O256,baseline,1,48,4331.59,6425.233,256
qwen,C128_O256,baseline,1,41,4339.721,6433.448,256
qwen,C128_O256,baseline,1,75,4296.273,6389.692,256
qwen,C128_O256,baseline,1,60,4315.572,6408.727,256
qwen,C128_O256,baseline,1,106,6399.82,8469.589,256
qwen,C128_O256,baseline,1,97,6416.863,8487.064,256
qwen,C128_O256,baseline,1,108,6400.337,8469.705,256
qwen,C128_O256,baseline,1,88,6427.243,8500.042,256
qwen,C128_O256,baseline,1,98,6416.82,8488.306,256
qwen,C128_O256,baseline,1,105,6400.698,8474.275,256
qwen,C128_O256,baseline,1,116,6383.582,8457.473,256
qwen,C128_O256,baseline,1,126,6366.484,8440.088,256
qwen,C128_O256,baseline,1,90,6423.565,8498.582,256
qwen,C128_O256,baseline,1,94,6422.557,8494.726,256
qwen,C128_O256,baseline,1,113,6392.988,8465.568,256
qwen,C128_O256,baseline,1,111,6393.554,8468.084,256
qwen,C128_O256,baseline,1,123,6372.813,8446.979,256
qwen,C128_O256,baseline,1,117,6383.238,8456.981,256
qwen,C128_O256,baseline,1,110,6396.682,8469.762,256
qwen,C128_O256,baseline,1,99,6415.084,8490.75,256
qwen,C128_O256,baseline,1,125,6368.731,8443.382,256
qwen,C128_O256,baseline,1,89,6427.079,8502.294,256
qwen,C128_O256,baseline,1,83,6435.365,8510.451,256
qwen,C128_O256,baseline,1,101,6411.01,8485.442,256
qwen,C128_O256,baseline,1,91,6422.609,8500.253,256
qwen,C128_O256,baseline,1,112,6393.225,8468.795,256
qwen,C128_O256,baseline,1,100,6410.619,8488.578,256
qwen,C128_O256,baseline,1,87,6429.05,8506.379,256
qwen,C128_O256,baseline,1,103,6406.081,8483.808,256
qwen,C128_O256,baseline,1,115,6384.011,8462.571,256
qwen,C128_O256,baseline,1,85,6430.383,8509.555,256
qwen,C128_O256,baseline,1,93,6421.806,8499.602,256
qwen,C128_O256,baseline,1,118,6379.794,8457.909,256
qwen,C128_O256,baseline,1,86,6429.999,8508.724,256
qwen,C128_O256,baseline,1,121,6376.081,8452.794,256
qwen,C128_O256,baseline,1,114,6390.017,8469.103,256
qwen,C128_O256,baseline,2,18,120.263,2159.272,256
qwen,C128_O256,baseline,2,26,110.66,2150.439,256
qwen,C128_O256,baseline,2,30,103.053,2146.334,256
qwen,C128_O256,baseline,2,29,104.26,2148.476,256
qwen,C128_O256,baseline,2,16,115.895,2165.05,256
qwen,C128_O256,baseline,2,22,111.348,2158.685,256
qwen,C128_O256,baseline,2,11,124.087,2171.515,256
qwen,C128_O256,baseline,2,2,133.6,2183.147,256
qwen,C128_O256,baseline,2,8,128.224,2175.776,256
qwen,C128_O256,baseline,2,7,129.148,2177.444,256
qwen,C128_O256,baseline,2,10,125.446,2174.174,256
qwen,C128_O256,baseline,2,21,113.212,2161.074,256
qwen,C128_O256,baseline,2,15,120.406,2169.043,256
qwen,C128_O256,baseline,2,12,128.881,2172.188,256
qwen,C128_O256,baseline,2,19,112.338,2164.081,256
qwen,C128_O256,baseline,2,4,130.373,2182.145,256
qwen,C128_O256,baseline,2,17,117.117,2166.441,256
qwen,C128_O256,baseline,2,5,129.28,2181.22,256
qwen,C128_O256,baseline,2,31,101.74,2149.928,256
qwen,C128_O256,baseline,2,25,114.181,2157.363,256
qwen,C128_O256,baseline,2,6,127.873,2180.945,256
qwen,C128_O256,baseline,2,1,138.096,2186.57,256
qwen,C128_O256,baseline,2,27,108.954,2155.635,256
qwen,C128_O256,baseline,2,14,121.731,2172.067,256
qwen,C128_O256,baseline,2,20,113.911,2164.905,256
qwen,C128_O256,baseline,2,28,103.388,2155.25,256
qwen,C128_O256,baseline,2,3,136.45,2186.712,256
qwen,C128_O256,baseline,2,0,136.457,2189.175,256
qwen,C128_O256,baseline,2,13,121.68,2174.029,256
qwen,C128_O256,baseline,2,9,130.739,2179.169,256
qwen,C128_O256,baseline,2,23,107.175,2162.428,256
qwen,C128_O256,baseline,2,24,108.998,2161.492,256
qwen,C128_O256,baseline,2,69,2089.215,4166.092,256
qwen,C128_O256,baseline,2,50,2185.5,4263.217,256
qwen,C128_O256,baseline,2,109,2028.755,4105.601,256
qwen,C128_O256,baseline,2,127,1997.904,4075.918,256
qwen,C128_O256,baseline,2,52,2183.002,4261.216,256
qwen,C128_O256,baseline,2,32,2209.539,4288.304,256
qwen,C128_O256,baseline,2,80,2075.263,4152.831,256
qwen,C128_O256,baseline,2,107,2029.542,4110.798,256
qwen,C128_O256,baseline,2,54,2181.895,4260.896,256
qwen,C128_O256,baseline,2,104,2035.127,4116.471,256
qwen,C128_O256,baseline,2,92,2054.143,4135.839,256
qwen,C128_O256,baseline,2,62,2101.66,4181.686,256
qwen,C128_O256,baseline,2,122,2005.214,4087.478,256
qwen,C128_O256,baseline,2,76,2078.549,4160.856,256
qwen,C128_O256,baseline,2,119,2009.177,4091.925,256
qwen,C128_O256,baseline,2,84,2067.68,4150.651,256
qwen,C128_O256,baseline,2,102,2037.904,4120.866,256
qwen,C128_O256,baseline,2,65,2097.271,4179.449,256
qwen,C128_O256,baseline,2,40,2198.649,4281.931,256
qwen,C128_O256,baseline,2,124,2005.418,4087.881,256
qwen,C128_O256,baseline,2,67,2094.775,4177.9,256
qwen,C128_O256,baseline,2,96,2049.355,4133.4,256
qwen,C128_O256,baseline,2,39,2200.149,4284.444,256
qwen,C128_O256,baseline,2,57,2114.319,4196.474,256
qwen,C128_O256,baseline,2,73,2085.869,4169.276,256
qwen,C128_O256,baseline,2,79,2074.551,4158.574,256
qwen,C128_O256,baseline,2,49,2187.863,4272.822,256
qwen,C128_O256,baseline,2,120,2009.714,4093.357,256
qwen,C128_O256,baseline,2,74,2084.17,4167.715,256
qwen,C128_O256,baseline,2,95,2050.399,4136.014,256
qwen,C128_O256,baseline,2,56,2179.081,4263.053,256
qwen,C128_O256,baseline,2,33,2209.521,4293.231,256
qwen,C128_O256,baseline,2,48,4328.447,6405.949,256
qwen,C128_O256,baseline,2,66,4236.565,6313.547,256
qwen,C128_O256,baseline,2,83,4213.763,6288.784,256
qwen,C128_O256,baseline,2,46,4335.022,6411.173,256
qwen,C128_O256,baseline,2,63,4241.812,6319.425,256
qwen,C128_O256,baseline,2,61,4242.335,6322.669,256
qwen,C128_O256,baseline,2,58,4247.237,6327.174,256
qwen,C128_O256,baseline,2,47,4329.898,6410.889,256
qwen,C128_O256,baseline,2,41,4340.37,6418.639,256
qwen,C128_O256,baseline,2,75,4225.073,6302.751,256
qwen,C128_O256,baseline,2,81,4215.283,6293.772,256
qwen,C128_O256,baseline,2,68,4235.241,6315.289,256
qwen,C128_O256,baseline,2,35,4346.08,6427.908,256
qwen,C128_O256,baseline,2,42,4339.626,6418.814,256
qwen,C128_O256,baseline,2,44,4335.391,6416.728,256
qwen,C128_O256,baseline,2,78,4217.297,6299.78,256
qwen,C128_O256,baseline,2,71,4227.925,6310.449,256
qwen,C128_O256,baseline,2,37,4345.109,6426.555,256
qwen,C128_O256,baseline,2,51,4327.29,6408.302,256
qwen,C128_O256,baseline,2,34,4345.974,6430.435,256
qwen,C128_O256,baseline,2,64,4239.399,6323.089,256
qwen,C128_O256,baseline,2,60,4244.4,6327.101,256
qwen,C128_O256,baseline,2,36,4345.284,6428.588,256
qwen,C128_O256,baseline,2,70,4230.75,6312.93,256
qwen,C128_O256,baseline,2,59,4245.764,6329.036,256
qwen,C128_O256,baseline,2,72,4225.828,6310.869,256
qwen,C128_O256,baseline,2,45,4333.076,6417.934,256
qwen,C128_O256,baseline,2,43,4337.206,6420.587,256
qwen,C128_O256,baseline,2,53,4322.764,6406.716,256
qwen,C128_O256,baseline,2,55,4318.385,6404.064,256
qwen,C128_O256,baseline,2,77,4219.17,6304.521,256
qwen,C128_O256,baseline,2,38,4344.531,6427.453,256
qwen,C128_O256,baseline,2,89,6337.529,8416.671,256
qwen,C128_O256,baseline,2,94,6330.276,8409.314,256
qwen,C128_O256,baseline,2,90,6337.135,8417.128,256
qwen,C128_O256,baseline,2,93,6331.132,8412.976,256
qwen,C128_O256,baseline,2,111,6304.617,8386.612,256
qwen,C128_O256,baseline,2,97,6323.643,8407.455,256
qwen,C128_O256,baseline,2,99,6321.816,8404.248,256
qwen,C128_O256,baseline,2,101,6318.457,8401.634,256
qwen,C128_O256,baseline,2,91,6336.208,8418.306,256
qwen,C128_O256,baseline,2,82,6349.118,8432.367,256
qwen,C128_O256,baseline,2,88,6339.727,8422.721,256
qwen,C128_O256,baseline,2,108,6308.975,8391.373,256
qwen,C128_O256,baseline,2,114,6297.362,8381.591,256
qwen,C128_O256,baseline,2,103,6316.242,8399.534,256
qwen,C128_O256,baseline,2,85,6342.766,8428.736,256
qwen,C128_O256,baseline,2,112,6301.184,8386.457,256
qwen,C128_O256,baseline,2,121,6286.426,8370.824,256
qwen,C128_O256,baseline,2,106,6309.689,8395.467,256
qwen,C128_O256,baseline,2,98,6321.982,8408.35,256
qwen,C128_O256,baseline,2,87,6339.732,8426.089,256
qwen,C128_O256,baseline,2,110,6305.539,8391.664,256
qwen,C128_O256,baseline,2,113,6298.736,8385.136,256
qwen,C128_O256,baseline,2,123,6284.12,8369.998,256
qwen,C128_O256,baseline,2,105,6313.493,8399.583,256
qwen,C128_O256,baseline,2,126,6277.856,8365.417,256
qwen,C128_O256,baseline,2,100,6320.001,8407.626,256
qwen,C128_O256,baseline,2,116,6292.511,8380.671,256
qwen,C128_O256,baseline,2,118,6288.352,8376.991,256
qwen,C128_O256,baseline,2,117,6291.265,8379.463,256
qwen,C128_O256,baseline,2,86,6342.199,8429.311,256
qwen,C128_O256,baseline,2,115,6293.836,8382.714,256
qwen,C128_O256,baseline,2,125,6281.016,8369.838,256
qwen,C64_O512,baseline,2,9,109.168,4304.296,512
qwen,C64_O512,baseline,2,17,98.357,4294.382,512
qwen,C64_O512,baseline,2,7,108.801,4307.076,512
qwen,C64_O512,baseline,2,11,105.113,4303.227,512
qwen,C64_O512,baseline,2,6,111.754,4311.947,512
qwen,C64_O512,baseline,2,27,84.691,4285.845,512
qwen,C64_O512,baseline,2,28,83.977,4285.141,512
qwen,C64_O512,baseline,2,18,96.061,4298.21,512
qwen,C64_O512,baseline,2,14,100.417,4303.606,512
qwen,C64_O512,baseline,2,21,93.342,4295.963,512
qwen,C64_O512,baseline,2,2,115.488,4318.219,512
qwen,C64_O512,baseline,2,25,86.5,4290.225,512
qwen,C64_O512,baseline,2,22,90.173,4294.27,512
qwen,C64_O512,baseline,2,8,108.415,4312.734,512
qwen,C64_O512,baseline,2,5,112.816,4315.989,512
qwen,C64_O512,baseline,2,31,78.787,4283.919,512
qwen,C64_O512,baseline,2,19,94.772,4299.891,512
qwen,C64_O512,baseline,2,4,113.404,4318.068,512
qwen,C64_O512,baseline,2,23,91.9,4295.216,512
qwen,C64_O512,baseline,2,15,98.956,4305.71,512
qwen,C64_O512,baseline,2,16,98.991,4305.165,512
qwen,C64_O512,baseline,2,20,93.238,4300.136,512
qwen,C64_O512,baseline,2,10,107.407,4313.59,512
qwen,C64_O512,baseline,2,1,108.362,4324.239,512
qwen,C64_O512,baseline,2,26,84.703,4293.156,512
qwen,C64_O512,baseline,2,0,118.479,4324.874,512
qwen,C64_O512,baseline,2,30,79.55,4288.215,512
qwen,C64_O512,baseline,2,24,87.698,4295.863,512
qwen,C64_O512,baseline,2,3,115.472,4323.07,512
qwen,C64_O512,baseline,2,29,83.09,4290.297,512
qwen,C64_O512,baseline,2,12,106.117,4313.536,512
qwen,C64_O512,baseline,2,13,101.87,4311.921,512
qwen,C64_O512,baseline,2,40,4322.534,8569.08,512
qwen,C64_O512,baseline,2,42,4321.2,8567.432,512
qwen,C64_O512,baseline,2,49,4311.486,8557.592,512
qwen,C64_O512,baseline,2,60,4299.1,8545.602,512
qwen,C64_O512,baseline,2,58,4301.398,8548.789,512
qwen,C64_O512,baseline,2,47,4312.717,8562.584,512
qwen,C64_O512,baseline,2,34,4330.147,8581.375,512
qwen,C64_O512,baseline,2,33,4331.804,8583.029,512
qwen,C64_O512,baseline,2,48,4312.887,8564.013,512
qwen,C64_O512,baseline,2,52,4307.808,8559.764,512
qwen,C64_O512,baseline,2,59,4298.816,8551.809,512
qwen,C64_O512,baseline,2,63,4293.929,8547.399,512
qwen,C64_O512,baseline,2,43,4319.662,8573.453,512
qwen,C64_O512,baseline,2,44,4318.827,8572.413,512
qwen,C64_O512,baseline,2,45,4318.597,8571.798,512
qwen,C64_O512,baseline,2,62,4295.295,8549.547,512
qwen,C64_O512,baseline,2,41,4323.146,8576.768,512
qwen,C64_O512,baseline,2,56,4302.298,8557.845,512
qwen,C64_O512,baseline,2,54,4305.294,8560.192,512
qwen,C64_O512,baseline,2,38,4327.137,8582.4,512
qwen,C64_O512,baseline,2,35,4330.967,8585.474,512
qwen,C64_O512,baseline,2,51,4308.544,8564.238,512
qwen,C64_O512,baseline,2,32,4334.639,8590.307,512
qwen,C64_O512,baseline,2,53,4307.375,8563.164,512
qwen,C64_O512,baseline,2,39,4325.372,8581.739,512
qwen,C64_O512,baseline,2,37,4327.218,8584.388,512
qwen,C64_O512,baseline,2,61,4296.307,8553.753,512
qwen,C64_O512,baseline,2,46,4313.985,8572.013,512
qwen,C64_O512,baseline,2,55,4304.975,8561.685,512
qwen,C64_O512,baseline,2,36,4329.585,8586.284,512
qwen,C64_O512,baseline,2,57,4301.373,8558.935,512
qwen,C64_O512,baseline,2,50,4310.374,8568.022,512
qwen,C128_O256,baseline,3,18,431.631,2162.952,256
qwen,C128_O256,baseline,3,20,427.243,2160.345,256
qwen,C128_O256,baseline,3,0,447.005,2184.642,256
qwen,C128_O256,baseline,3,22,427.383,2160.74,256
qwen,C128_O256,baseline,3,4,448.489,2182.638,256
qwen,C128_O256,baseline,3,25,423.653,2157.803,256
qwen,C128_O256,baseline,3,2,451.859,2186.489,256
qwen,C128_O256,baseline,3,7,445.639,2180.704,256
qwen,C128_O256,baseline,3,28,418.862,2155.302,256
qwen,C128_O256,baseline,3,13,436.964,2174.244,256
qwen,C128_O256,baseline,3,3,450.07,2185.617,256
qwen,C128_O256,baseline,3,6,445.098,2182.401,256
qwen,C128_O256,baseline,3,15,434.692,2172.154,256
qwen,C128_O256,baseline,3,21,428.419,2164.613,256
qwen,C128_O256,baseline,3,10,441.133,2178.601,256
qwen,C128_O256,baseline,3,5,445.755,2184.362,256
qwen,C128_O256,baseline,3,9,441.433,2180.565,256
qwen,C128_O256,baseline,3,27,420.349,2158.872,256
qwen,C128_O256,baseline,3,26,420.33,2159.257,256
qwen,C128_O256,baseline,3,31,414.182,2153.498,256
qwen,C128_O256,baseline,3,19,431.482,2168.257,256
qwen,C128_O256,baseline,3,12,438.441,2177.283,256
qwen,C128_O256,baseline,3,16,435.355,2172.298,256
qwen,C128_O256,baseline,3,30,415.926,2155.287,256
qwen,C128_O256,baseline,3,29,419.161,2157.115,256
qwen,C128_O256,baseline,3,11,441.512,2179.069,256
qwen,C128_O256,baseline,3,23,423.704,2164.613,256
qwen,C128_O256,baseline,3,8,442.459,2183.403,256
qwen,C128_O256,baseline,3,24,424.014,2163.443,256
qwen,C128_O256,baseline,3,1,451.363,2190.862,256
qwen,C128_O256,baseline,3,14,436.488,2176.572,256
qwen,C128_O256,baseline,3,17,433.14,2173.443,256
qwen,C128_O256,baseline,3,65,2167.96,4243.317,256
qwen,C128_O256,baseline,3,96,2131.999,4207.389,256
qwen,C128_O256,baseline,3,73,2159.287,4234.7,256
qwen,C128_O256,baseline,3,124,2103.14,4178.764,256
qwen,C128_O256,baseline,3,56,2181.116,4256.856,256
qwen,C128_O256,baseline,3,95,2133.915,4210.283,256
qwen,C128_O256,baseline,3,107,2119.356,4197.599,256
qwen,C128_O256,baseline,3,102,2126.007,4204.565,256
qwen,C128_O256,baseline,3,49,2189.845,4267.952,256
qwen,C128_O256,baseline,3,122,2105.577,4184.789,256
qwen,C128_O256,baseline,3,127,2100.024,4179.469,256
qwen,C128_O256,baseline,3,54,2182.317,4262.178,256
qwen,C128_O256,baseline,3,104,2126.562,4203.827,256
qwen,C128_O256,baseline,3,84,2145.874,4225.547,256
qwen,C128_O256,baseline,3,120,2107.177,4187.103,256
qwen,C128_O256,baseline,3,50,2188.971,4268.773,256
qwen,C128_O256,baseline,3,57,2178.923,4259.384,256
qwen,C128_O256,baseline,3,67,2167.743,4246.516,256
qwen,C128_O256,baseline,3,92,2137.229,4217.355,256
qwen,C128_O256,baseline,3,33,2210.102,4290.982,256
qwen,C128_O256,baseline,3,76,2154.235,4236.138,256
qwen,C128_O256,baseline,3,40,2202.477,4283.432,256
qwen,C128_O256,baseline,3,79,2151.423,4232.718,256
qwen,C128_O256,baseline,3,119,2109.11,4189.916,256
qwen,C128_O256,baseline,3,69,2166.276,4245.768,256
qwen,C128_O256,baseline,3,80,2152.074,4232.215,256
qwen,C128_O256,baseline,3,39,2203.74,4285.256,256
qwen,C128_O256,baseline,3,109,2119.765,4200.883,256
qwen,C128_O256,baseline,3,62,2171.917,4254.919,256
qwen,C128_O256,baseline,3,32,2212.492,4294.172,256
qwen,C128_O256,baseline,3,52,2185.787,4268.648,256
qwen,C128_O256,baseline,3,74,2157.03,4240.986,256
qwen,C128_O256,baseline,3,82,4284.892,6368.063,256
qwen,C128_O256,baseline,3,81,4284.143,6369.931,256
qwen,C128_O256,baseline,3,68,4301.624,6386.695,256
qwen,C128_O256,baseline,3,59,4312.902,6398.371,256
qwen,C128_O256,baseline,3,77,4288.717,6375.986,256
qwen,C128_O256,baseline,3,45,4332.256,6417.824,256
qwen,C128_O256,baseline,3,38,4340.634,6427.257,256
qwen,C128_O256,baseline,3,34,4344.918,6432.4,256
qwen,C128_O256,baseline,3,41,4336.839,6424.356,256
qwen,C128_O256,baseline,3,46,4331.449,6417.071,256
qwen,C128_O256,baseline,3,60,4311.208,6399.646,256
qwen,C128_O256,baseline,3,36,4343.691,6430.876,256
qwen,C128_O256,baseline,3,43,4335.276,6422.764,256
qwen,C128_O256,baseline,3,35,4343.038,6432.683,256
qwen,C128_O256,baseline,3,72,4295.197,6385.157,256
qwen,C128_O256,baseline,3,63,4307.613,6396.585,256
qwen,C128_O256,baseline,3,58,4313.524,6402.565,256
qwen,C128_O256,baseline,3,64,4305.645,6395.763,256
qwen,C128_O256,baseline,3,47,4330.476,6417.545,256
qwen,C128_O256,baseline,3,51,4324.311,6412.553,256
qwen,C128_O256,baseline,3,78,4289.338,6378.729,256
qwen,C128_O256,baseline,3,44,4331.991,6423.321,256
